"id","name","code"
"data_kodeAkunPajak_411121","KODE AKUN PAJAK 411121 UNTUK JENIS PAJAK PPh PASAL 21","411121"
"data_kodeAkunPajak_411122","KODE AKUN PAJAK 411122 UNTUK JENIS PAJAK PPh PASAL 22","411122"
"data_kodeAkunPajak_411123","KODE AKUN PAJAK 411123 UNTUK JENIS PAJAK PPh PASAL 22 IMPOR","411123"
"data_kodeAkunPajak_411124","KODE AKUN PAJAK 411124 UNTUK JENIS PAJAK PPh PASAL 23","411124"
"data_kodeAkunPajak_411125","KODE AKUN PAJAK 411125 UNTUK JENIS PAJAK PPh PASAL 25/29 ORANG PRIBADI","411125"
"data_kodeAkunPajak_411126","KODE AKUN PAJAK 411126 UNTUK JENIS PAJAK PPh PASAL 25/29 BADAN","411126"
"data_kodeAkunPajak_411127","KODE AKUN PAJAK 411127 UNTUK JENIS PAJAK PPh PASAL 26","411127"
"data_kodeAkunPajak_411128","KODE AKUN PAJAK 411128 UNTUK JENIS PAJAK PPh FINAL DAN FISKAL LUAR NEGERI","411128"
"data_kodeAkunPajak_411129","KODE AKUN PAJAK 411129 UNTUK JENIS PAJAK PPh NON MIGAS LAINNYA","411129"
"data_kodeAkunPajak_411111","KODE AKUN PAJAK 411111 UNTUK JENIS PAJAK PPh MINYAK BUMI","411111"
"data_kodeAkunPajak_411112","KODE AKUN PAJAK 411112 UNTUK JENIS PAJAK PPh GAS ALAM","411112"
"data_kodeAkunPajak_411113","KODE AKUN PAJAK 411113 UNTUK JENIS PAJAK PPh LAINNYA DARI MINYAK BUMI","411113"
"data_kodeAkunPajak_411119","KODE AKUN PAJAK 411119 UNTUK JENIS PAJAK PPh MIGAS LAINNYA","411119"
"data_kodeAkunPajak_411211","KODE AKUN PAJAK 411211 UNTUK JENIS PAJAK PPN DALAM NEGERI","411211"
"data_kodeAkunPajak_411212","KODE AKUN PAJAK 411212 UNTUK JENIS PAJAK PPN IMPOR","411212"
"data_kodeAkunPajak_411221","KODE AKUN PAJAK 411221 UNTUK JENIS PAJAK PPnBM DALAM NEGERI","411221"
"data_kodeAkunPajak_411222","KODE AKUN PAJAK 411222 UNTUK JENIS PAJAK PPnBM IMPOR","411222"
"data_kodeAkunPajak_411219","KODE AKUN PAJAK 411219 UNTUK JENIS PAJAK PPN LAINNYA","411219"
"data_kodeAkunPajak_411229","KODE AKUN PAJAK 411229 UNTUK JENIS PAJAK PPnBM LAINNYA","411229"
"data_kodeAkunPajak_411611","KODE AKUN PAJAK 411611 UNTUK BEA MATERAI","411611"
"data_kodeAkunPajak_411612","KODE AKUN PAJAK 411612 UNTUK PENJUALAN BENDA MATERAI","411612"
"data_kodeAkunPajak_411619","KODE AKUN PAJAK 411619 UNTUK JENIS PAJAK TIDAK LANGSUNG LAINNYA","411619"
"data_kodeAkunPajak_411621","KODE AKUN PAJAK 411621 UNTUK BUNGA PENAGIHAN PPh","411621"
"data_kodeAkunPajak_411622","KODE AKUN PAJAK 411622 UNTUK BUNGA PENAGIHAN PPN","411622"
"data_kodeAkunPajak_411623","KODE AKUN PAJAK 411623 UNTUK BUNGA PENAGIHAN PPnBM","411623"
"data_kodeAkunPajak_411624","KODE AKUN PAJAK 411624 UNTUK BUNGA PENAGIHAN PAJAK TIDAK LANGSUNG LAINNYA (PTLL)","411624"
